Index,Org,Dst,CO2/kt,NOx/t,CO/t,HC/t
0,SZX,SHA,33.19,189.58,23.22,1.94
1,SHA,SZX,34.59,188.48,24.27,1.87
2,PEK,SHA,34.47,177.61,28.21,1.72
3,SHA,PEK,44.52,226.32,44.65,2.91
4,CAN,SHA,27.68,139.8,30.29,2.23
5,SHA,CAN,32.42,159.97,31.98,2.16
6,HGH,SZX,20.95,115.03,15.98,1.39
7,SZX,HGH,22.49,130.98,15.5,1.37
8,PEK,SZX,35.04,166.68,50.13,3.63
9,SZX,PEK,50.04,235.56,85,6.49
10,HGH,CAN,20.55,110.56,16.94,1.38
11,CAN,HGH,20.48,116.02,17.51,1.53
12,CTU,PEK,27.21,132.52,20.43,1.14
13,PEK,CTU,25.14,120.15,17.3,0.9
14,PKX,CAN,24.03,118.23,27.98,2.16
15,PKX,SZX,22.45,118.78,15.2,1.36
16,SZX,PKX,26.01,150.35,18.38,1.76
17,CAN,PKX,26.21,131.79,33.44,2.66
18,CKG,SZX,12.1,62.41,9.36,0.85
19,SZX,CKG,16.63,92.63,12.03,1.14
20,PVG,SHE,13.03,65.61,11.49,0.98
21,SHE,PVG,14.56,76.98,13.2,1.23
22,CAN,NKG,12.22,63.14,9.89,0.94
23,NKG,CAN,10.32,47.99,9.56,0.84
24,SZX,XIY,16.4,84.67,13.96,1.32
25,XIY,SZX,13.44,63.88,11.5,1.04
26,PVG,DLC,8.13,45.45,8.26,0.88
27,CAN,PEK,33.68,159.42,52.56,3.77
28,DLC,PVG,8.19,45.96,7.44,0.79
29,NKG,SZX,11.1,56.22,9.83,0.94
30,SZX,NKG,13.24,75.03,10.4,1.06
31,HGH,PEK,15.93,88.69,10.94,0.8
32,PEK,HGH,12.72,70.59,8.85,0.65
33,PEK,CKG,13.61,72.01,8.69,0.64
34,SZX,TFU,13.78,76.43,10.82,1.03
35,TFU,SZX,11.79,62.58,8.73,0.79
36,SZX,CTU,15.39,78.33,11.6,0.85
37,HRB,PVG,14.86,73.68,13.81,1.34
38,SHA,XMN,9.87,52.48,7.53,0.61
39,CTU,SZX,13.83,69.62,9.94,0.71
40,PVG,HRB,14.83,73.31,13.27,1.28
41,CKG,PEK,15.86,79.07,10.32,0.74
42,XMN,SHA,9.16,50.37,6.36,0.52
43,SZX,PVG,12.2,66.85,9.29,0.87
44,PVG,CKG,14.55,76.29,13.01,1.25
45,PVG,SZX,11.47,57.78,9.25,0.81
46,NKG,CKG,9.86,47.89,9.68,0.93
47,CKG,NKG,9.72,52.63,8.12,0.86
48,XIY,CAN,12.36,59.97,11.03,0.96
49,CGO,SZX,11.1,54.79,7.74,0.72
50,CAN,XIY,12.69,64.14,13.04,1.19
51,HGH,CKG,14.63,77.13,11.98,0.97
52,HGH,CTU,14.93,78.79,11.93,1.06
53,CSX,PKX,12.27,69.6,9.95,1.06
54,PKX,CSX,10.01,51.76,8.12,0.8
55,SZX,CGO,11.46,59.27,7.66,0.74
56,SHA,XIY,14.16,73.37,12.76,1.06
57,XIY,SHA,10.72,57.44,8.45,0.73
58,CTU,HGH,13.57,78.28,9.56,0.97
59,CKG,PVG,10.25,55.21,9.36,0.95
60,CTU,CAN,13.13,64.15,11.42,0.76
61,PEK,CAN,21.06,96.76,34.9,2.54
62,CAN,CTU,11.99,57.33,10.85,0.73
63,PKX,CKG,9.42,53.11,7.05,0.75
64,CKG,PKX,9.54,53.96,7.09,0.76
65,SZX,KMG,10.41,54.88,8.69,0.81
66,XIY,HGH,10.7,58.77,8.06,0.82
67,HGH,XIY,11.51,61.39,9.91,0.96
68,CGQ,PVG,11.2,55.98,10.63,1.02
69,CAN,HAK,6.34,36.17,5.62,0.59
70,CKG,HGH,9.48,51.52,7.55,0.73
71,PKX,HGH,7.98,43.09,6.59,0.64
72,KMG,SZX,8.79,46.9,6.83,0.64
73,HAK,CAN,4.38,22.73,4.07,0.39
74,HGH,PKX,9.8,54.21,7.69,0.74
75,PVG,CGQ,10.66,54.71,9.54,0.91
76,URC,KHG,7.06,37.79,5.12,0.47
77,TFU,CAN,10.44,54.69,7.69,0.62
78,LUM,KMG,3.85,18.62,4.05,0.4
79,HGH,KMG,12.22,60.97,11.18,1.09
80,CAN,TFU,10.47,57.06,8.55,0.73
81,KMG,HGH,11.78,64.79,9.15,0.97
82,KMG,XIY,10.24,54.84,8.57,0.87
83,CKG,CAN,7.59,40.51,5.62,0.46
84,KMG,CAN,7.96,41.23,6.19,0.56
85,XIY,KMG,7.8,38.07,7.35,0.7
86,CAN,CKG,8.42,44.73,6.66,0.57
87,KMG,CGO,10.05,50.41,7.57,0.7
88,CGO,KMG,10.59,51.19,8.75,0.78
89,CAN,CGO,8.3,41.3,6.1,0.59
90,CGO,CAN,8.7,43.65,6.37,0.62
91,TFU,HGH,10.97,61.61,8.17,0.84
92,CSX,XIY,7.78,41.87,6.61,0.66
93,HGH,TFU,11.87,62.83,9.68,0.91
94,LXA,CTU,8.22,40.92,7.81,0.46
95,CTU,LXA,11.26,55.58,10.8,0.61
96,XIY,CSX,5.57,28.33,4.73,0.45
97,SHA,TFU,12.35,61.24,10.82,0.91
98,CTU,PVG,11.32,58.32,8.09,0.67
99,CTU,PKX,12.69,68.59,9.12,0.71
100,CSX,TFU,7.02,38.23,6.16,0.6
101,URC,CGO,13.88,66.01,8.69,0.74
102,HAK,SZX,3.45,17.56,3.2,0.31
103,TFU,CSX,5.85,31.37,4.78,0.46
104,CSX,PEK,14.31,80.97,8.85,0.61
105,TFU,SHA,9.35,49.58,7.35,0.69
106,CGO,URC,15.49,73.64,10.45,0.92
107,URC,TFU,11.46,57,8.7,0.79
108,TFU,URC,12.83,64.44,10.02,0.93
109,KMG,PKX,15.15,80.66,9.33,0.86
110,PKX,KMG,12.3,62.01,8.35,0.7
111,SHA,TAO,5.38,29.45,4.97,0.5
112,TFU,SYX,11.36,62.61,8.41,0.72
113,PVG,CAN,9.61,48.47,8.1,0.62
114,SHA,CKG,14.95,79.69,11.07,0.76
115,TFU,WUH,5.1,25.14,4.23,0.38
116,WUH,TFU,6.8,33.91,6.42,0.6
117,CAN,PVG,9.03,47.27,7.76,0.64
118,PVG,CTU,12.92,62.84,9.96,0.72
119,TAO,HRB,6.79,34.99,6.46,0.67
120,SYX,TFU,11.07,59.96,8.53,0.73
121,PVG,KMG,12.07,60.18,9.82,0.9
122,HRB,TAO,7.68,40.32,6.59,0.67
123,KMG,PVG,10.94,59.53,8.1,0.82
124,KMG,SHA,9.37,48.14,7.47,0.73
125,CAN,TNA,9.33,48.7,5.61,0.55
126,TNA,CAN,7.75,35.84,4.74,0.42
127,URC,PKX,14.23,73.6,9.02,0.74
128,PKX,URC,13.35,67.48,9.25,0.77
129,WUH,KMG,7.75,37.74,6.7,0.62
130,KMG,WUH,6.39,32.23,4.99,0.47
131,XIY,PVG,7.25,38.4,6.42,0.65
132,PVG,XIY,9.02,46.98,8.3,0.81
133,PEK,XIY,5.27,31.23,3.55,0.33
134,TFU,PVG,8.32,45.91,6.84,0.73
135,WUH,CAN,5.8,30.47,4.24,0.41
136,SHA,KMG,10.39,49.32,9.58,0.84
137,SHA,CTU,14.74,67.89,10.4,0.52
138,PVG,TFU,10,51.26,8.74,0.84
139,PKX,CTU,8.59,41.76,6.52,0.5
140,PEK,XMN,9.81,50.42,6.31,0.48
141,TFU,PKX,8.56,47.02,6.26,0.62
142,XMN,PEK,12.77,67.83,8.47,0.67
143,XMN,PKX,10.74,56.53,6.82,0.48
144,CAN,WUH,4.15,21.03,3.5,0.34
145,WUH,SZX,6.52,36.54,4.54,0.43
146,SZX,HFE,7.64,41.72,5.75,0.56
147,PKX,KWE,8.05,39.71,6.68,0.69
148,HFE,SZX,6.09,29.71,5.01,0.45
149,PKX,XMN,8.8,44.5,5.53,0.37
150,LXA,TFU,6.55,31.87,6.17,0.38
151,TFU,LXA,9.44,45.15,9.19,0.54
152,SZX,WUH,5.46,31.94,3.91,0.38
153,KWE,PKX,7.35,38.6,5.71,0.63
154,PKX,TFU,7.27,36.98,5.4,0.52
155,TFU,TAO,8.62,46.37,6.74,0.72
156,HAK,CSX,5.27,26.46,4.08,0.39
157,TAO,TFU,8.75,42.54,6.89,0.64
158,CSX,HAK,7.06,37.91,5.45,0.54
159,PKX,HRB,5.32,28.91,4.47,0.46
160,HAK,CGO,8.36,42.37,6.44,0.62
161,NKG,XIY,5.26,23.84,5.95,0.54
162,HRB,PKX,5.92,32.79,5.09,0.53
163,CGO,HAK,9.58,49.6,7.4,0.7
164,PEK,KMG,15.99,78.97,10.54,0.53
165,KMG,PEK,18.63,99.52,11.15,0.62
166,TNA,CKG,6.89,32.98,5.76,0.54
167,CKG,TNA,6.62,34.65,5.32,0.55
168,CKG,LXA,6.69,24.36,8.91,0.37
169,KMG,CTU,4,20.23,4.23,0.37
170,TFU,KMG,3.83,18.93,3.57,0.31
171,CAN,WUX,6.67,34.33,4.96,0.49
172,CAN,TSN,10.64,54.15,7.09,0.55
173,LXA,CKG,5.44,21.14,6.29,0.28
174,CSX,KMG,6.24,31.34,5.58,0.53
175,KMG,TFU,4.05,21.66,3.53,0.34
176,WUX,CAN,6.6,31.76,5.35,0.49
177,TSN,CAN,11.34,58.53,7.25,0.55
178,XIY,NKG,5.29,26.69,5.05,0.5
179,PEK,CSX,8.14,42.43,4.81,0.34
180,CTU,KMG,3.92,19.23,4.37,0.37
181,KMG,CSX,5.34,26.69,4.64,0.44
182,CKG,TAO,7.32,37.71,5.71,0.59
183,NKG,TFU,7.23,35.91,6.91,0.65
184,TAO,CKG,7.81,37.59,6.19,0.58
185,TFU,NKG,7.55,43.09,6.03,0.64
186,CKG,SHA,7.2,39.34,4.91,0.42
187,CAN,URC,18.81,88.92,15.29,1.12
188,CSX,TAO,7.54,40.7,5.93,0.6
189,TAO,CSX,6.18,30.51,4.94,0.47
190,URC,CAN,16.53,80.04,11.54,0.79
191,CGO,XMN,5.99,30.64,4.45,0.42
192,TSN,XIY,5.71,26.18,4.57,0.35
193,XMN,CGO,6.72,34.91,4.88,0.45
194,NKG,KMG,7.36,33.34,7.52,0.68
195,PVG,KWE,7.85,38.35,7.21,0.69
196,SZX,TNA,8.8,46.66,6.79,0.7
197,WUH,TAO,6.27,32.32,4.88,0.48
198,TAO,WUH,4.71,21.71,3.57,0.31
199,CTU,SHA,8.88,41.78,5.91,0.33
200,KMG,NKG,7.93,41.66,6.52,0.66
201,SHA,URC,16.99,77.39,11.73,0.7
202,TNA,HRB,5.74,28.16,5.28,0.52
203,HRB,TNA,6.64,32.85,5.98,0.58
204,PEK,TFU,7.63,41.52,4.52,0.39
205,URC,PEK,13.12,68.69,11.75,0.99
206,URC,SHA,13.88,68.4,8.01,0.56
207,TNA,SZX,7,33.56,5.35,0.5
208,WNZ,CAN,5.01,25.89,4.05,0.38
209,NKG,KWE,6.15,29,6,0.57
210,KWE,PEK,8.7,44.44,6.14,0.57
211,SZX,TSN,9.11,47.54,6.28,0.6
212,XIY,TSN,4.52,23.59,3.35,0.32
213,KWE,NKG,5.95,30.82,4.94,0.51
214,KWE,PVG,6.12,30.55,5.3,0.55
215,CAN,WNZ,3.87,21.68,3.14,0.32
216,TAO,SHE,3.61,17.89,3.37,0.33
217,SHE,TAO,4.72,25.12,4,0.41
218,TFU,PEK,8.21,46.1,4.9,0.45
219,PEK,URC,12.16,62.44,11.17,0.94
220,CKG,WUX,5.79,32.55,4.12,0.44
221,WUX,CKG,6.99,37.25,5.94,0.58
222,SHE,HGH,7.43,37.59,5.71,0.49
223,XMN,XIY,8.14,44.63,5.31,0.48
224,XMN,NKG,4.57,23.95,4.15,0.41
225,PEK,KWE,7.86,40.03,5.79,0.53
226,HGH,KWE,7.14,36.23,5.62,0.55
227,XIY,XMN,6.73,36.09,4.1,0.4
228,HGH,SHE,7.48,38.53,5.53,0.46
229,PKX,PVG,6.11,33.17,4.99,0.45
230,WUH,PKX,5.68,29.65,4.49,0.44
231,KWE,HGH,5.91,31.5,4.46,0.48
232,PKX,WUH,4.15,19.32,3.2,0.28
233,NKG,SHE,5.23,25.88,4.71,0.45
234,PVG,PKX,7.39,41.16,6.09,0.55
235,XIY,SHE,5.71,27.83,5.5,0.53
236,SHA,CSX,5.01,26.94,4.54,0.42
237,DLC,NKG,3.38,18.29,3.51,0.38
238,SYX,CAN,3.56,18.93,2.98,0.28
239,CSX,SHA,5.2,30.15,3.91,0.38
240,SHE,XIY,8.5,41.28,7.86,0.71
241,SHE,NKG,6.23,31.66,5.93,0.6
242,CSX,SYX,6.91,38.95,5.28,0.55
243,PVG,TAO,2.72,14.78,2.79,0.3
244,DLC,HGH,4.72,23.3,3.84,0.37
245,XMN,KMG,7.45,36.99,5.87,0.57
246,CKG,HAK,5.07,24.59,4.92,0.46
247,KMG,XMN,6.43,32.62,4.95,0.5
248,NKG,XMN,3.72,18.05,3.92,0.38
249,SYX,CSX,5.3,27.92,3.83,0.37
250,TAO,XIY,5.27,25.61,4.68,0.44
251,TSN,SZX,8.49,42.44,5.49,0.49
252,WUH,PEK,5.87,32.21,4.93,0.49
253,XIY,TAO,5.32,27.62,4.68,0.49
254,XIY,TNA,4.05,19.92,3.85,0.36
255,PEK,WUH,4.89,24.27,4.06,0.38
256,KMG,TNA,8.19,41.86,6.43,0.65
257,HRB,PEK,5.87,32.94,4.41,0.38
258,TNA,XIY,4.03,18.47,3.99,0.35
259,SHA,PKX,6.87,37.67,5.72,0.47
260,WUH,HAK,6.81,36.04,5.08,0.49
261,XMN,CKG,7.03,36.01,5.48,0.53
262,HGH,DLC,5.55,29.9,4.37,0.45
263,HAK,CKG,5.21,25.45,4.88,0.46
264,NKG,DLC,3.88,20.25,3.85,0.4
265,NKG,CGQ,6.22,31.73,5.78,0.59
266,CGQ,NKG,6.43,31.19,6.59,0.66
267,CKG,XMN,5.24,25.19,4.26,0.41
268,WUH,XMN,4.25,22.77,2.97,0.29
269,PKX,SHA,5.54,28.96,4.03,0.3
270,HAK,WUH,5.01,25.46,3.68,0.35
271,TNA,KMG,7.38,33.52,6.57,0.59
272,CAN,SYX,4.45,25.54,3.79,0.38
273,PVG,NNG,7.39,36.19,7.01,0.66
274,XMN,WUH,4.01,21.61,2.62,0.25
275,PEK,HRB,5.08,28.16,3.67,0.32
276,SHA,TSN,5.21,28.64,3.8,0.38
277,CKG,CSX,2.92,15.52,2.41,0.24
278,SYX,PEK,16.19,75.45,38.2,3.21
279,PEK,HAK,14.85,74.44,17.34,1.24
280,HAK,PEK,16.79,85.75,21.48,1.61
281,KWE,XIY,3.62,19.78,3.18,0.35
282,CSX,CKG,4.16,23.65,3.52,0.37
283,TFU,TNA,5.83,30.74,4.59,0.48
284,HET,CIF,2.47,10.96,3.06,0.25
285,LJG,TFU,2.23,11.32,2.61,0.25
286,PEK,SYX,14.06,65.48,31.88,2.66
287,TNA,TFU,5.89,28.11,4.57,0.42
288,HGH,TAO,4.45,23.28,3.39,0.34
289,SHA,TYN,5.47,27.75,5.49,0.54
290,TYN,SHA,4.38,21.99,4.15,0.42
291,TAO,PVG,2.54,13.68,2.37,0.25
292,PVG,SYX,8.85,46.19,7.29,0.68
293,HET,TGO,3.38,16.02,3.56,0.33
294,CAN,HFE,5.15,27.01,3.5,0.32
295,XIY,KWE,3.57,19.12,3.28,0.35
296,TSN,TFU,7.07,33.64,4.49,0.38
297,CGO,PVG,4,20.72,3.61,0.36
298,PKX,SYX,9.76,49,11.21,1.09
299,TAO,HGH,3.11,15.2,2.68,0.26
300,NNG,TFU,3.86,19.41,3.75,0.37
301,NGB,CAN,5.11,25.11,3.48,0.26
302,FOC,PEK,7.94,42.87,5.7,0.57
303,TFU,XMN,6.1,32.12,3.92,0.36
304,SYX,PVG,7.85,40.7,6.53,0.62
305,PEK,FOC,6.13,29.46,4.6,0.42
306,TSN,PVG,5.22,25.95,3.61,0.31
307,TFU,TSN,6.37,33.5,4.01,0.4
308,HFE,CAN,4.04,18.9,3.06,0.26
309,CSX,TNA,5.25,27.42,4.26,0.41
310,XMN,TFU,6.96,37.53,4.81,0.43
311,PEK,YNT,2.41,13.12,2.06,0.21
312,SYX,PKX,10.6,53.39,13.95,1.35
313,CAN,NGB,4.95,26.19,3.44,0.3
314,TFU,LJG,2.75,13.82,3.17,0.29
315,SWA,PVG,4.07,21.47,4.04,0.42
316,TNA,CSX,3.97,18.95,3.48,0.32
317,CGO,TFU,4.95,24.28,3.97,0.34
318,TFU,CGO,3.91,19.29,3.11,0.27
319,HGH,HRB,8.28,45.7,6.16,0.66
320,HRB,HGH,7.67,40.36,5.59,0.58
321,TFU,HFE,4.89,25.49,4.43,0.45
322,YNT,PEK,2.43,12.19,2.31,0.22
323,HFE,TFU,4.71,21.56,5.02,0.46
324,PEK,DLC,2.45,13.02,2.05,0.2
325,PVG,SWA,3.8,18.58,4.08,0.41
326,DLC,PEK,2.54,12.45,2.26,0.2
327,TFU,NNG,3.84,19.6,3.74,0.37
328,DLC,TAO,1.44,9.07,1.56,0.18
329,TAO,CGQ,3.92,19.15,3.87,0.38
330,NNG,PVG,5.62,28.45,4.84,0.49
331,WUH,PVG,3.27,16.89,3.13,0.31
332,TGO,HET,2.75,13.97,3.07,0.32
333,PVG,WUH,3.06,14.78,2.92,0.27
334,CGQ,TAO,4.02,19.29,3.95,0.38
335,CSX,TSN,5.46,28.51,4.19,0.42
336,URC,HGH,11.37,57.72,7.28,0.69
337,LHW,PEK,5.73,28.77,4.64,0.32
338,TSN,CSX,5.09,25.52,3.99,0.38
339,WUX,TFU,5.84,28.44,5.39,0.48
340,TFU,WUX,5.26,27.75,4.05,0.41
341,SYX,HGH,6.93,37.98,6.24,0.65
342,HGH,SYX,7.33,40.74,6.41,0.68
343,PEK,LHW,4.5,24.87,3.07,0.26
344,PVG,CSX,3.51,17.98,3.6,0.36
345,HGH,URC,11.88,55.78,8.86,0.73
346,HET,HLH,3.43,15.86,3.68,0.33
347,TSN,SHA,4.3,23.19,2.69,0.25
348,SZX,NGB,4.9,28.5,3.96,0.41
349,NKG,CSX,2.62,12.63,2.99,0.29
350,SHE,TFU,9.42,48.88,6.86,0.58
351,CSX,TYN,4.63,23.98,3.68,0.36
352,XIY,SYX,6.97,37.13,5.25,0.56
353,SYX,XIY,7.48,40.49,5.75,0.63
354,SHA,WUH,2.96,14.6,3.42,0.34
355,TYN,CSX,3.88,18.74,3.29,0.31
356,CKG,URC,8.08,39.96,6.52,0.66
357,WUH,SHA,2.81,14.55,2.89,0.29
358,CSX,PVG,4.04,22.4,3.73,0.4
359,URC,CKG,6.96,36.21,5.28,0.57
360,CTU,WUH,3.78,20.11,2.85,0.25
361,PVG,CGO,3.66,17.88,3.46,0.31
362,CSX,NKG,3.72,20.91,3.37,0.36
363,TFU,SHE,6.96,37.68,5.08,0.48
364,WUH,CTU,4.83,25.32,4.31,0.39
365,FOC,CKG,5.7,29.06,4.31,0.41
366,SYX,CKG,4.91,24.97,4.84,0.5
367,PVG,HAK,7.36,40.33,4.97,0.44
368,CKG,FOC,4.79,24.21,3.41,0.33
369,NGB,PKX,5.39,29.36,4.57,0.48
370,WUH,CKG,3.71,19.47,3.03,0.3
371,KWL,PVG,4.61,24.24,4.3,0.42
372,LHW,PKX,4.45,23.19,4.24,0.45
373,PKX,ZUH,6.18,28.46,4.62,0.42
374,PKX,NGB,4.37,23.11,3.54,0.37
375,TAO,DLC,1.37,8.74,1.44,0.17
376,SHA,SYX,7.94,40.89,5.97,0.46
377,PVG,KWL,5.42,27.96,5.25,0.48
378,CKG,SYX,4.55,22.52,4.39,0.44
379,HAK,PVG,6.21,33.85,4.26,0.39
380,SYX,SHA,6.67,33.98,4.98,0.4
381,LHW,PVG,4.92,24.34,4.89,0.51
382,ZUH,PKX,7.12,35.56,5.36,0.52
383,PEK,NNG,6.98,33.73,5.97,0.59
384,NGB,SZX,4.24,23.29,3.53,0.36
385,URC,WUH,8.4,39.72,4.65,0.35
386,NNG,PEK,7.11,35.85,6.03,0.57
387,PVG,TSN,4.34,22.19,3.42,0.33
388,ZUH,PVG,4.72,25.25,4.18,0.43
389,WUH,URC,9.58,45.51,6.57,0.54
390,CKG,WUH,2.51,12.76,1.72,0.16
391,KWE,WNZ,4.4,24.23,3.11,0.33
392,HET,XIL,1.73,8.15,2.41,0.22
393,KWE,NGB,4.51,22.1,3.95,0.41
394,SHE,SZX,7.83,36.98,6.39,0.57
395,SZX,KWE,4.17,22.08,2.92,0.28
396,CGQ,TNA,4.11,20.17,4.02,0.41
397,TNA,CGQ,3.81,19.17,3.54,0.36
398,TSN,CKG,5.67,26.68,3.98,0.33
399,NGB,KWE,5.14,24.47,4.76,0.46
400,CTU,NKG,5.39,29.82,4.14,0.36
401,SZX,SHE,7.7,37.63,6.33,0.59
402,PVG,LHW,6.16,29.57,6.3,0.61
403,KHN,XIY,4.14,20.96,3.62,0.35
404,NKG,CTU,5.06,24.33,4.87,0.36
405,HET,HLD,3.7,17.15,3.45,0.28
406,CKG,TSN,4.88,25.8,3.43,0.34
407,CSX,CTU,4.31,23.84,3.62,0.31
408,WNZ,KWE,5.5,28.83,4.27,0.42
409,HRB,NKG,5.98,28.96,5.12,0.51
410,CTU,CSX,3.68,20.61,2.81,0.24
411,NKG,HRB,5.69,28.1,4.63,0.47
412,HLD,HET,3,15.07,2.93,0.29
413,CGO,HGH,3.33,18.21,2.62,0.27
414,CSX,URC,9.28,44.7,5.91,0.51
415,URC,CSX,8.04,38.64,4.79,0.42
416,HGH,CGO,3.17,16.9,2.57,0.26
417,XIY,KHN,3.27,16.43,2.6,0.25
418,KWE,SZX,2.73,13.15,2.15,0.2
419,SZX,SYX,3.36,19.02,3.01,0.29
420,URC,TNA,8.14,40.89,3.94,0.39
421,HLH,HET,2.67,13.67,3.06,0.33
422,INC,PEK,3.68,19.17,3.27,0.29
423,HRB,TFU,8.19,41.84,5.86,0.55
424,DLC,TNA,1.5,8.89,1.3,0.15
425,PEK,INC,2.66,15.41,2.18,0.24
426,WUX,KMG,5.94,29.06,5.45,0.52
427,FOC,PKX,6.42,33.71,4.2,0.37
428,KMG,WUX,5.68,30.91,4.29,0.45
429,HFE,KMG,4.61,20.81,4.74,0.43
430,PKX,FOC,5.58,28.53,3.35,0.27
431,XMN,TSN,5.56,28.2,3.96,0.38
432,CGO,KWE,4.57,22.33,4.16,0.4
433,TSN,XMN,5.14,25.27,3.68,0.34
434,DLC,TSN,1.55,7.21,1.49,0.13
435,PEK,KHN,3.89,19.72,2.84,0.24
436,KHN,PEK,5.6,31.38,3.61,0.32
437,NKG,TYN,3.17,14.57,3.52,0.3
438,SHA,YNT,3,16.52,2.83,0.3
439,SHE,CGO,4.21,20.3,3.57,0.34
440,KMG,HFE,4.93,25.75,4.23,0.43
441,JHG,KMG,1.73,8.19,1.97,0.19
442,TNA,URC,7.59,36.23,4.05,0.36
443,CGO,SYX,6.14,31.04,4.76,0.48
444,NNG,HGH,4.57,24.32,3.31,0.35
445,TFU,KHN,3.34,17.11,2.64,0.24
446,SYX,CGO,5.42,26.87,4.13,0.41
447,KHN,TFU,4.22,20.99,3.77,0.32
448,CKG,HFE,3.34,17.48,3.05,0.32
449,SZX,WNZ,3.04,17.29,2.34,0.25
450,HGH,NNG,5.26,27.06,4.39,0.45
451,CGO,FOC,3.81,19.26,2.7,0.25
452,TFU,HRB,6.93,36.53,4.87,0.49
453,FOC,CGO,4.2,21.48,3.02,0.29
454,HFE,CKG,3.46,16.36,3.47,0.33
455,SJW,TFU,3.75,18.77,3.08,0.28
456,CIF,HET,1.55,8.02,1.92,0.2
457,DLC,PKX,2.16,12.02,1.92,0.2
458,TSN,KMG,6.53,29.72,5.42,0.46
459,PKX,DLC,2.43,14.43,2.02,0.21
460,XIY,FOC,4.42,22.49,3.16,0.3
461,CSX,NGB,3.23,17.98,2.19,0.22
462,NGB,CSX,2.61,13.14,2.09,0.2
463,CGO,SHE,4.01,19.74,3.27,0.31
464,TYN,CAN,4.45,20.77,2.82,0.26
465,XMN,HGH,2.93,15.81,2.06,0.21
466,WNZ,SZX,3.04,15.73,2.66,0.27
467,FOC,XIY,5.26,27.59,3.64,0.33
468,TFU,SJW,3.87,20.94,3.17,0.32
469,HGH,XMN,2.49,12.64,2.08,0.2
470,KMG,TSN,6.35,31.32,4.8,0.45
471,CAN,TYN,4.38,21.21,2.9,0.27
472,KWE,CGO,3.33,15.61,2.92,0.27
473,ZUH,PEK,7.34,38.35,5.33,0.46
474,TYN,NKG,3.11,14.82,3.23,0.3
475,PEK,ZUH,6.46,31.51,4.39,0.34
476,HRB,SZX,7.46,35.3,6.18,0.55
477,TYN,TFU,3,14.68,2.89,0.27
478,SZX,HRB,8.06,40.04,6.54,0.61
479,TCZ,KMG,1.7,8.26,1.66,0.16
480,TYN,SZX,4.96,25.2,3.65,0.34
481,WUX,XIY,3.96,19.88,3.94,0.37
482,HAK,KHN,2.9,13.41,2.84,0.24
483,XIY,WUX,3.42,18.06,3.03,0.3
484,TFU,TYN,3.25,17.06,3.08,0.31
485,KHN,HAK,3.96,19.76,3.78,0.34
486,KMG,WNZ,4.83,25.05,3.54,0.36
487,CGO,HET,3.06,15.56,2.5,0.23
